Cultivated area (hec),Seed (Kg),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Insecticide (lit),Water (m3),Irrigation frequency,Yield (kg),Fuel (lit),Electricity (kwh),Calculated carbon emission(kg co2-eq)
1.75,2.9,842,156,105,1512,10,8793,3,50317,2396,7812,41707
2.5,4.7,1335,282,110,2029,13,17388,6,73280,3114,10885,53282
1.25,3.6,598,153,70,943,7,7258,2,36524,1414,5552,25490
2.5,3.4,1260,316,158,2105,16,15041,4,55222,2827,11074,47519
2,2.8,1045,196,127,1556,10,11663,5,45316,2436,8098,45407
2.5,2.8,1235,257,132,1965,17,13374,4,70651,2752,10199,59960
1,1.7,527,129,69,755,7,5013,4,27830,1134,3880,22306
1,1.2,526,103,46,856,5,5249,2,22020,1122,4073,20231
0.5,0.8,260,46,23,393,3,2528,6,13158,640,2091,10449
1.5,4.1,741,140,93,1224,8,9121,5,34182,1751,6597,36084
1.75,3.5,795,177,74,1360,9,10850,3,39420,2465,7755,41523
1.25,2.8,586,123,92,969,7,8198,4,30709,1684,4838,26501
1.5,2,747,190,104,1337,10,10064,3,40363,1816,5866,29076
1.25,2.2,603,134,81,1075,7,7064,3,29717,1670,5366,29931
0.75,1.5,358,91,34,601,4,4074,4,19021,921,3322,17829
2.5,6.9,1247,259,152,2114,16,16278,5,71380,3269,10166,51245
1.25,1.4,651,134,54,1093,8,7419,4,30860,1574,4917,27890
1.5,2.5,677,129,71,1154,8,9633,6,41526,2054,5873,28621
1.75,3.7,858,182,102,1340,10,11636,4,46425,2602,7851,36797
0.5,1.3,273,48,35,415,3,2607,2,12744,587,1991,10049
3,8,1604,339,135,2526,21,20909,4,88714,3370,12497,65635
2.5,5.6,1307,243,165,1950,13,12541,5,63624,2878,9883,48080
1.75,2.1,796,146,86,1461,11,11149,6,47179,2186,7043,37887
3,8.6,1598,313,188,2395,19,20326,2,71917,3984,12491,60136
2.5,7.4,1339,316,99,2126,13,17270,4,71836,3473,9877,51942
1.75,2.5,848,222,63,1345,11,10341,6,47990,2304,6656,41813
1.5,2.5,751,131,109,1324,9,7996,3,42528,1811,6509,28727
0.75,0.8,352,75,46,610,5,4988,4,21032,948,2905,18381
1,2.3,528,89,73,774,5,5895,3,22462,1121,3977,22032
2,2.1,930,168,98,1692,14,11019,3,57470,2510,7615,49195
1.25,3.1,670,113,51,1081,7,6872,2,36088,1599,4798,30756
1.25,3.3,593,160,92,1004,9,6655,5,27910,1515,5397,25244
0.5,1.2,233,59,21,440,3,3434,3,13992,739,1991,11793
2.5,3.2,1248,225,122,1961,16,16844,5,64778,3546,10714,52928
3,8.5,1572,267,175,2404,18,16912,4,84945,3888,12404,62916
1.75,5.1,890,219,75,1393,11,10759,4,51094,2074,6800,43382
1.75,4.8,831,176,67,1563,10,12125,6,38674,2158,7587,38063
0.75,1.1,340,90,29,618,5,4514,4,16995,1032,3186,18630
3,5.9,1578,317,127,2267,16,16576,4,83641,3823,12429,57716
2.5,3.1,1256,275,167,2016,17,12708,3,68923,3308,10506,55299
1.75,4.2,953,217,86,1490,12,11828,4,40543,2616,7511,36055
0.75,1.5,404,80,49,637,4,4438,4,17156,927,2971,16119
2,5,1030,179,140,1796,12,10054,2,45303,2264,8600,39584
1.5,2.5,818,150,107,1285,10,9390,4,33294,2160,5767,29035
1.75,5.1,854,224,129,1476,10,11085,5,44820,2456,7654,38919
2,3.6,943,227,101,1573,13,13765,3,59582,2740,8426,45198
1.25,2.5,648,104,70,1039,7,7446,5,35812,1811,4968,30051
3,6.5,1506,282,173,2374,17,19835,2,84198,4218,11958,70132
1,2.4,536,87,71,764,6,6791,4,25209,1201,4300,23292
2,5.7,1097,164,142,1514,12,11934,6,49684,2770,8522,40510
1,1.2,534,108,41,835,6,5261,3,28036,1348,4223,19072
2.5,3.1,1162,240,155,2152,16,14677,4,63833,3429,10024,47699
3,7.3,1539,281,131,2405,17,16199,4,72749,3957,11858,63001
1.5,2.6,728,159,109,1147,8,10195,2,39928,1849,6065,29017
0.5,0.5,253,54,34,425,3,2875,5,14135,620,2086,11865
1,1.6,531,82,69,864,7,5308,4,25450,1458,4016,21812
1,2.3,494,98,56,800,6,5338,2,23921,1189,4217,23859
3,5.2,1353,319,176,2362,19,17078,3,81610,4468,12773,60866
1.25,1.8,582,137,54,1053,8,7555,6,30852,1598,5509,30231
2,3.5,963,210,113,1568,12,10786,3,45933,2434,8954,41114
1.75,3.5,806,190,76,1365,9,11544,2,45979,2159,7468,38550
2.5,2.6,1198,259,156,1958,14,15059,2,65543,2810,9865,50117
2.5,3.3,1134,261,146,2120,14,15756,3,64693,3368,10095,56293
2.5,5.2,1182,321,100,1964,15,16214,3,67905,3321,10887,60669
1.5,2.3,820,138,103,1192,9,10069,4,42017,1963,6295,31844
1.25,2.4,611,154,60,1001,8,6557,5,37267,1659,5492,26777
1.75,4,883,173,129,1438,9,11596,6,43800,2331,6827,35668
1.75,3.9,834,160,102,1493,12,11954,4,50648,2098,6725,36924
1,1.7,478,87,55,802,6,6202,4,22495,1280,4391,20030
1.5,2.4,742,156,67,1269,10,8562,4,39160,2155,5868,32541
1.75,2.8,898,220,128,1313,12,10707,5,41708,2323,6835,33284
1.25,3.5,576,113,59,969,9,8411,5,34635,1732,5356,30937
2.5,3.7,1366,315,106,1897,14,12683,3,73542,3251,11246,52959
2.5,5.3,1180,217,102,2124,14,16811,6,57145,2912,10295,61098
1.5,3.2,725,136,75,1303,9,9281,6,43612,1707,6500,34759
2,5.7,994,193,77,1695,12,10654,6,47277,2312,8298,49896
1.5,2.7,794,168,68,1226,9,8655,5,41496,2033,6585,36148
1.5,2.8,688,179,65,1147,9,9631,6,38682,2213,6415,34587
1.25,1.9,634,153,70,1084,8,7749,5,28674,1460,4759,26751
1,2.6,500,124,60,804,5,5892,4,25983,1191,4393,22792
2.5,5.9,1295,267,131,2001,17,13764,3,56810,3102,11197,56189
1.5,2.6,823,139,79,1189,8,9665,6,44460,1964,6491,30932
0.75,1.8,357,84,38,636,4,4255,5,19157,1083,3293,15192
1,1.7,485,93,56,832,7,6170,6,26274,1133,4311,21202
0.5,1.4,261,44,19,388,3,2547,5,11659,589,2243,11647
1.75,5.2,875,165,93,1323,10,10305,6,51491,2300,7837,43103
1.75,4.3,952,147,113,1459,10,11017,2,40118,2573,6655,38273
1.25,2.5,674,149,62,1016,7,6979,5,36735,1455,5371,28566
1,3,498,114,58,809,6,5324,4,27621,1283,4216,19012
2.5,3.4,1187,262,135,2124,13,15723,4,59301,3413,10789,60639
1.5,1.7,752,189,98,1133,9,8469,3,33777,1654,6281,36640
0.5,1.1,240,61,24,393,3,2517,3,13158,735,2088,10403
3,5,1398,383,200,2278,20,16155,4,86952,4379,12755,67290
2,4.8,1032,216,137,1634,13,10815,6,48246,2795,8343,41247
1.75,4.7,933,174,98,1369,11,9575,5,41874,2161,7281,36402
2.5,2.8,1130,289,104,2226,14,13723,5,72496,3344,10195,54204
0.5,1.4,274,41,34,391,3,2607,4,11947,689,2189,10735
1.75,4.6,869,170,106,1354,12,9182,2,43394,1979,7258,33585
2.5,3.4,1365,257,103,1939,15,13689,2,68469,3612,10371,51120
1.5,2.4,702,195,72,1294,9,8239,6,38987,1738,6670,29234
2,4.7,1078,181,124,1546,11,13733,4,50931,2259,8705,44405
2.5,5,1353,239,155,1966,14,13344,5,66574,3235,9742,52876
1.5,3.6,748,166,91,1303,8,8608,6,34174,2006,6540,28700
0.5,1,233,52,25,397,3,3067,4,11958,567,1981,11928
1.5,1.6,723,129,86,1294,8,7779,5,41247,1840,6711,30260
1,2.9,471,94,46,758,6,5166,4,28502,1283,3829,21196
2,2.8,917,194,112,1683,14,11443,4,45323,2425,8551,41263
1.5,2.1,759,191,54,1229,10,8592,2,43393,1656,5707,28752
1,1.2,508,115,53,788,7,5442,4,26244,1213,3873,24375
0.5,1.5,228,58,18,388,3,2599,4,11109,596,2162,11276
1.5,2.9,818,173,91,1250,8,10081,2,43104,1843,6408,34595
1.25,3.6,656,122,73,1031,8,7943,3,29793,1502,5569,24216
1.25,3.1,612,126,60,1118,7,6742,6,33838,1586,5211,28743
2.5,3.2,1227,211,187,2007,15,15651,3,59348,3693,10383,62399
2,2.1,967,176,109,1597,13,11639,4,44495,2687,8863,41101
2,3.8,1025,232,104,1615,11,12778,4,52766,2497,7656,38299
1.5,2.7,712,182,79,1242,8,8432,5,36241,1904,6136,35626
2,3.4,1100,223,76,1512,11,11142,5,47979,2298,7606,42446
3,7.9,1462,261,215,2459,16,16495,5,78303,3395,13195,65687
1,2.3,453,125,40,798,7,5829,6,28381,1219,3863,19997
1.5,4.4,782,141,65,1224,8,8393,5,40133,2198,6684,33067
0.75,1,359,85,40,587,5,5136,3,22272,1042,3285,16668
1.75,3.7,877,188,96,1345,11,10760,4,48264,1986,7363,33345
0.5,1,231,60,22,416,3,3130,6,12503,575,2245,12238
2,2.7,1014,236,83,1712,12,10827,5,54176,2354,7669,47825
1.5,2.8,741,152,79,1216,8,7933,2,34126,2165,6410,35850
3,3.1,1488,332,201,2699,18,16072,3,72817,3897,13246,71407
2,2.5,926,204,148,1572,13,12750,6,53690,2847,8728,40858
2.5,6.5,1177,298,186,1969,14,17233,4,58255,3051,9863,53550
0.75,1.3,379,64,56,639,4,3884,2,21201,1048,3095,15305
3,3.7,1581,249,145,2651,15,18010,2,89437,4308,11725,57069
2.5,5.5,1253,297,119,2011,17,15185,6,59192,2821,10053,61884
1.75,2.6,886,188,71,1541,10,11506,3,50091,1960,7052,42958
1.5,2.8,721,164,84,1200,8,9419,5,42038,1796,6602,28718
2.5,5.2,1284,221,90,1993,17,12719,4,55099,2962,10136,49952
0.5,1,232,53,20,426,3,2853,2,12994,657,1963,10015
0.75,2,349,70,41,575,4,4897,5,17101,1099,3128,17741
1.5,2.5,743,184,62,1246,10,8354,4,37335,2084,6707,32107
0.5,0.9,253,49,19,422,3,3138,3,13016,572,2023,9531
0.5,0.9,246,61,33,397,3,2749,2,13065,579,2112,12305
1.75,2.1,880,211,128,1568,10,12004,4,39573,1990,6784,42069
0.75,1,382,73,36,632,4,4234,3,22221,917,3107,15534
3,6.8,1479,325,161,2523,16,15949,6,67774,3810,12221,60030
1.5,2.7,810,189,100,1164,9,8133,2,38621,1660,5762,29949
1.75,2.7,959,145,126,1441,9,8854,4,52365,2029,6703,40996
0.5,0.6,256,45,30,383,3,3109,2,11556,683,2028,12119
2,5.4,1020,190,102,1612,11,11096,5,58228,2522,8341,49075
1.75,4,867,162,72,1500,11,10646,6,42834,2288,7161,43349
0.5,1.4,272,51,18,420,3,3383,4,14881,726,2071,11849
0.75,1.2,379,71,30,652,5,4442,2,19460,866,3233,16159
1.75,4.4,805,166,104,1553,11,10273,5,49701,2533,7290,41676
1.75,3,822,188,73,1488,10,9779,5,41936,1960,6858,39723
2,4.8,1010,213,126,1725,11,10227,3,53786,2729,8488,47218
1.5,3.3,780,140,82,1229,8,9719,2,33230,2171,5967,28609
1.5,1.9,725,147,99,1130,10,9818,2,34473,1683,6414,31442
1.75,3.5,941,155,127,1376,12,10645,5,46729,2249,7473,41588
3,6.2,1544,318,222,2256,19,15319,6,83978,4043,12541,67129
1.75,2,885,171,121,1384,9,11050,6,39051,2279,7674,41459
1,1.5,472,92,73,855,6,5507,4,22067,1455,4254,22671
1.75,2.4,870,159,71,1488,12,9205,4,40989,2515,6711,38481
1.5,2.9,691,179,93,1207,9,8262,3,38270,2136,6581,36830
1.25,1.3,612,132,75,988,8,8019,3,31863,1786,5508,24389
0.75,2.2,379,92,33,565,4,5019,5,21668,1050,3111,15072
0.5,1.5,275,45,37,421,3,2519,4,11924,744,2087,12142
1.5,3.2,743,164,103,1334,8,8361,5,35071,1850,6081,34571
0.5,1.2,249,53,18,446,3,2925,6,14991,717,2139,10562
2.5,6.2,1369,295,124,2067,17,13859,3,63576,3661,10985,56707
0.75,1.4,386,72,39,623,5,4215,5,20309,856,3184,18168
1.5,2.2,697,174,55,1209,9,10475,4,36664,1882,5884,30767
0.75,2.2,406,63,30,643,5,4332,4,19746,936,3143,14561
1.75,3.3,890,223,121,1405,10,11696,6,50638,2166,7082,35791
2.5,3.8,1364,306,158,2162,15,14549,5,56843,3560,10243,55808
1.5,3.8,793,193,89,1190,8,9293,6,33578,1780,6653,30855
1,1.4,495,104,40,861,6,5345,4,24213,1148,4498,22207
1,2.9,518,108,55,807,7,6586,6,22048,1322,3927,23077
0.75,2,368,95,36,586,4,4669,3,21062,1113,3313,17885
0.5,1.1,237,49,24,390,3,2913,5,11417,604,1958,9500
2.5,2.9,1165,219,125,2186,16,17014,3,70772,3318,10686,61981
1.25,2.9,589,143,69,941,7,7804,2,34400,1424,5189,24788
1.25,3.1,622,122,46,938,8,7583,6,30838,1641,5145,30765
0.75,0.9,342,62,56,649,5,5122,5,17385,842,3266,17537
2,2.9,902,196,97,1730,13,12434,6,53864,2811,8170,47659
0.5,1.5,233,46,38,396,3,3113,3,13724,605,2086,10886
0.75,1.5,340,80,32,668,4,4021,5,18523,1070,3094,14943
0.75,0.8,347,91,45,675,4,4649,5,19404,1100,2990,16042
1.5,3.8,715,124,89,1272,8,8042,3,38683,2086,6170,34776
1.25,2.1,631,147,65,971,8,8537,5,27650,1766,5129,24161
1.75,5,841,221,71,1553,11,11907,3,41229,2185,7746,40629
2,5.7,1089,181,144,1723,13,11284,6,58446,2691,7716,46304
1.75,4.3,812,209,76,1533,9,10085,6,44151,2397,6665,39495
0.5,0.8,269,48,37,399,3,2610,3,14222,596,1960,9717
3,8.8,1590,388,221,2668,18,18478,3,89099,4271,13132,57262
3,6.2,1486,306,116,2664,17,17040,2,73927,4239,11958,57663
1.75,4,841,168,98,1465,11,11327,5,51087,2007,7347,34246
1.5,1.9,693,137,77,1321,8,9267,6,36765,2076,6239,34397
2,2.3,1005,188,140,1785,12,13002,6,50911,2557,8829,42269
2.5,5,1280,243,154,2102,15,13354,4,56891,3516,9982,61615
2,2.9,939,211,85,1767,13,13955,2,50534,2868,8312,42168
0.5,1.3,266,61,30,450,3,2515,3,13572,719,1990,10587
1.5,4.1,786,191,111,1164,8,10122,5,33077,1937,5704,32446
1.5,3.8,701,142,96,1230,9,9596,3,42705,1704,5858,31632
1.5,4.5,732,179,89,1146,9,8485,5,38303,1722,6353,33127
2,5.9,1062,255,84,1540,13,13929,5,54732,2712,8643,45544
0.5,0.5,267,51,37,427,3,2995,5,14585,570,2088,10747
1.75,2.1,839,144,93,1446,11,11735,4,41986,2158,7454,37249
1.5,2.3,710,143,55,1259,9,9893,4,44709,2176,5901,34674
2.5,7.4,1269,319,160,1978,14,15124,4,56761,3269,11091,50886
2,5.6,908,185,122,1539,11,10032,4,49252,2258,8626,43386
1.5,3.9,700,171,66,1265,8,9509,5,33442,1688,5812,33400
2,2.4,992,249,79,1548,13,11390,4,55439,2901,8936,39044
2.5,4.3,1320,323,152,2191,16,14912,3,71767,3329,11021,56341
1.75,4.3,942,227,102,1442,10,12026,6,43964,2442,6962,38727
3,7.4,1415,348,178,2426,19,16463,5,76280,3752,12846,59662
2.5,6.1,1178,297,107,2095,17,14891,2,63458,3237,10026,57059
0.5,1.3,246,57,26,406,3,3184,2,12936,707,2190,11328
2.5,5.6,1326,262,131,1957,16,14341,4,61764,3537,10233,52741
1.5,2.7,809,147,57,1314,8,10136,6,33797,2001,5978,32624
1.5,2.7,703,157,55,1325,9,7716,5,37609,2193,5855,34457
0.75,2.1,392,77,35,616,5,4692,5,17151,1061,2903,15915
1.5,3.5,743,169,105,1133,9,8054,4,40071,2056,6278,31260
2.5,6.4,1300,257,94,2182,14,12907,2,74097,3173,9713,56983
0.75,1.5,360,88,54,665,5,4269,6,18851,1001,3254,15916
2.5,7.1,1219,227,153,2058,13,16022,5,59026,3701,10814,60729
1.25,1.5,590,115,85,1116,7,6819,4,34284,1811,5482,28166
0.75,2,362,77,56,624,4,4893,4,21054,1097,3206,18735
1.25,2,624,103,93,1050,6,8017,6,36933,1629,5082,26729
0.75,1.8,380,66,36,641,5,4612,4,22232,972,3192,14440
2,5.1,1043,221,81,1564,12,11449,6,58605,2830,8111,40711
1.75,2.6,931,148,122,1454,9,11500,5,44120,2581,7078,39954
1,1.5,495,119,64,888,6,6796,2,29003,1300,4302,21037
1.75,2.1,810,166,79,1401,11,10208,2,42176,2396,7060,35526
2.5,3.1,1366,212,107,2045,16,15412,5,58324,3387,10810,57863
1.75,2.4,925,204,79,1566,12,10181,5,38629,1961,7475,40398
1,1.6,544,124,71,857,6,5587,6,24762,1269,4188,20744
1.5,2.4,808,151,76,1241,9,10082,6,37925,2151,6356,37164
1,2.1,501,120,53,821,5,6257,5,29198,1171,4191,24143
1.75,3.3,946,179,95,1322,11,10106,6,41626,2438,7202,36206
3,7.5,1436,294,219,2644,19,19367,4,69113,3840,12371,57756
1.75,4.1,858,163,104,1423,12,9174,5,49644,2534,7237,34959
1.25,1.6,645,136,90,1068,7,7186,3,31777,1450,4760,28029
1.5,3.4,708,172,100,1289,10,10459,2,38607,2065,6141,32180
2,5.5,1075,224,141,1546,11,12472,6,54490,2578,8766,43468
1,1.6,546,115,39,876,7,5005,5,25078,1295,3806,19491
1,1.9,530,95,62,756,6,6105,6,26824,1186,4001,22220
1.5,4.1,720,154,113,1278,10,10377,2,39766,2131,5776,35857
2,4.2,988,230,78,1535,11,10809,5,44236,2367,7675,42191
2.5,6.9,1287,281,187,2110,15,15764,6,62963,3665,10645,57549
1.75,2,845,161,120,1356,11,9407,3,52025,1994,6679,40149
3,8.5,1634,374,111,2552,19,15510,3,89579,3940,12441,69689
0.75,1.9,343,97,53,656,4,4008,4,19193,888,3259,15741
1.25,2.2,662,147,81,940,8,6690,3,29033,1597,4954,28101
1,1.2,505,92,49,791,6,6030,2,29044,1315,4423,23531
1.25,3.3,640,149,74,1125,7,6404,4,29553,1789,5428,31139
1.5,3.5,693,147,65,1252,10,8786,6,34007,2190,6104,30894
2,6,937,249,91,1623,11,13298,3,47146,2696,7943,44844
0.5,1.5,228,57,24,376,3,3139,5,12352,677,1992,9506
1.75,3.1,949,152,80,1502,9,9375,3,43426,2111,7785,35066
1.25,1.7,681,107,60,1054,7,8112,4,28078,1791,5544,29020
2.5,4.9,1204,245,121,2232,15,17388,4,65902,3211,9692,60330
1,1.6,513,88,58,876,6,5537,3,26190,1352,4012,23439
1.25,2,592,146,69,1119,7,7129,3,28376,1531,5499,31229
1.25,3.6,586,120,88,968,7,7499,6,31377,1708,5503,25627
1.25,3.4,620,111,73,1004,8,7101,4,28218,1868,5168,28138
1.5,2.6,811,174,92,1318,9,8844,4,42250,1897,5727,30131
2,2.7,998,228,101,1758,12,13580,4,54421,2824,7724,45849
1.25,3.1,654,124,70,1107,8,6635,5,28874,1797,5396,24281
1,2.5,502,89,65,859,7,6752,3,28756,1193,4243,24133
1.5,2.6,681,146,58,1275,8,8523,4,35456,1780,5919,37414
1,2,463,88,65,882,6,5918,4,25097,1175,3964,20286
1.25,2.9,586,147,89,985,9,7159,5,28323,1444,4781,30444
0.5,1.5,262,56,27,416,3,3048,5,11605,567,2236,11197
1.25,3,587,108,87,1041,7,8127,5,27888,1849,5130,26049
3,8.8,1581,286,135,2656,18,18013,3,87638,3519,12911,70523
3,3.4,1503,305,154,2461,18,17697,5,66326,3681,12112,64107
1.25,2.8,581,112,89,1017,8,8635,2,36250,1608,5570,30445
1,1.6,494,123,40,854,6,5720,3,22217,1137,4040,22830
3,4.1,1543,375,205,2351,18,18577,4,75376,4201,12637,60695
2.5,5.1,1342,216,108,2088,16,14540,2,72560,3082,10927,48640
2,3.8,1029,244,149,1624,11,10714,4,47720,2746,7677,41104
2.5,7.1,1338,251,190,1924,16,15899,2,65777,3621,9879,55424
1.75,2.7,892,195,119,1468,11,10094,5,48874,2332,7081,37640
0.75,1.3,363,66,27,595,5,4353,6,20423,877,3137,14765
1.75,2.6,899,162,91,1456,12,11346,3,43905,2170,7019,34547
0.75,1.9,364,76,34,627,4,4843,3,17788,864,3072,16600
1.75,3.8,794,215,118,1534,9,11123,5,49146,2215,7853,33667
1.5,2.7,711,194,99,1189,9,7960,3,38526,1692,5820,36860
2.5,2.8,1141,306,176,2096,15,12747,6,57821,2885,10329,61340
1.25,1.9,663,155,77,1031,8,7876,5,35112,1534,5008,25693
1.5,3.1,753,187,86,1182,8,8163,5,37386,2149,6273,30186
0.5,0.7,230,60,27,432,3,3296,5,13065,702,1973,9669
3,6.8,1487,285,225,2611,18,17670,6,80552,4305,11887,62308
3,4.9,1599,289,219,2651,17,19343,6,77827,3476,12169,72376
0.5,1.3,271,43,35,409,3,2958,5,13033,598,2039,12088
1.75,3.3,791,191,85,1556,9,11991,4,42219,1997,7238,35649
1.75,2.5,860,167,67,1419,10,11855,5,44605,2603,7607,37295
3,9,1489,370,226,2516,20,17279,2,87672,3495,12151,59251
2.5,7.5,1361,220,185,1901,16,17253,6,55474,3479,11241,49774
1,1.7,505,117,55,836,6,5280,5,22029,1453,4358,20468
1.75,3.7,955,194,92,1355,10,10720,4,52048,2203,7038,33791
1.5,1.8,703,182,81,1315,10,9412,5,37956,2139,6454,29922
0.5,1.4,249,61,37,427,3,3335,6,12724,570,1987,11077
0.5,0.6,273,46,29,417,3,3286,2,14329,618,2233,10883
2.5,3.6,1318,268,96,2093,13,17417,6,64236,3556,11090,60564
1.5,2.9,761,175,103,1226,9,7845,6,35003,2124,6748,36374
2.5,3.6,1302,295,162,1911,15,15756,5,70402,2928,10679,53971
0.75,1.1,338,69,46,609,5,5202,4,18827,919,3117,17719
2.5,5.5,1345,230,176,1886,14,14631,3,59487,2856,10257,47688
1.25,1.4,660,136,64,1109,7,7359,5,29148,1567,4922,28191
1.5,1.5,771,152,58,1343,8,7560,2,41041,1855,6123,28929
1.5,2.2,681,124,57,1220,10,8082,6,37665,1843,6095,29181
0.5,0.6,272,47,24,399,3,2689,4,12757,689,2013,9896
1.75,4.5,953,219,88,1374,12,11278,3,47448,2385,6939,35037
0.5,1.2,252,43,29,430,3,3090,5,14323,593,2096,9585
3,4.6,1525,253,140,2546,17,20936,2,73842,4321,12060,74120
1.75,3.6,813,153,119,1420,9,10069,6,48283,2131,7774,40367
1.25,3.2,577,131,52,1031,7,6485,3,33616,1619,5060,25976
1.5,3.7,688,146,81,1163,8,9571,2,43675,1774,5880,28938
1.75,3.8,810,162,119,1571,10,10867,5,48844,2449,7543,39541
1.75,2.5,792,218,127,1359,11,12238,4,41726,2317,7109,43234
1.75,4.6,802,149,83,1410,9,9091,4,45468,2373,7079,41698
1,2.5,452,98,37,890,6,6577,4,27713,1255,3817,20467
1.5,1.5,801,156,61,1216,9,8431,2,36378,1932,6533,33091
1.5,4.1,794,171,94,1179,8,9414,5,37658,1782,6210,30202
3,5.9,1494,323,109,2383,16,15334,4,80238,3876,12282,58105
1.5,3.9,690,184,77,1153,9,10355,6,39355,1915,5986,29286
1.75,3,951,205,83,1480,11,9918,3,50373,2585,7335,36129
0.5,1.5,258,47,33,390,3,2917,2,14666,561,2222,10679
1.5,2.8,769,142,107,1317,8,8375,5,36528,1768,5774,29685
2,5.4,923,233,77,1561,11,13394,2,57560,2611,7867,41072
1.5,3.7,780,160,111,1325,10,8401,3,38339,1712,6065,30326
1,2.5,462,91,63,758,7,5968,4,26387,1299,3969,22291
2,4.1,1095,171,76,1718,12,10836,2,54287,2618,8689,42629
0.75,1.9,339,77,51,630,5,4894,3,18229,1046,2863,16417
2.5,7.2,1329,210,144,1975,17,13841,2,63274,2808,9542,62437
2.5,5.6,1283,243,179,2085,14,14935,2,69466,3206,9689,55894
1,2.2,453,119,60,787,7,5565,6,28142,1101,3912,19268
0.75,1.1,407,96,47,653,4,3786,4,19603,1093,3171,14649
1.5,2.9,795,188,79,1217,9,9667,3,44364,1889,6168,29925
3,7.1,1594,343,125,2593,20,16604,2,73761,3575,12945,74673
0.75,1.4,364,65,39,567,5,4160,2,18896,913,2988,16552
1.5,2.3,781,163,75,1321,9,10042,4,37968,1924,5959,36976
0.75,2.2,361,76,51,664,4,4569,6,19066,994,2995,14273
1,2.5,479,128,43,875,6,6136,3,24768,1323,4487,24596
1,1.8,474,104,54,757,6,6493,3,27368,1233,4300,20754
0.5,1.1,269,42,30,421,3,3239,2,13418,647,2068,10334
1.5,2.4,792,176,106,1307,9,8683,3,33332,2078,6536,29239
2,4.4,1055,189,132,1596,11,13939,6,48223,2696,8763,49747
1,1.2,546,87,73,892,6,5605,4,25573,1223,4154,23990
1.5,3,772,128,70,1127,10,10180,4,40745,1951,6088,28714
2.5,3.6,1311,213,132,1952,17,14104,2,68746,2980,10139,52947
0.75,0.9,370,84,56,607,4,4270,6,21325,880,3263,17815
2.5,6.8,1196,314,133,2127,17,14805,4,56847,3207,10088,48396
0.5,0.6,230,49,25,398,3,2611,4,12336,665,2030,9607
0.75,1.9,353,92,43,669,4,3776,4,19771,911,3368,15936
1.5,1.6,727,158,112,1281,8,9521,2,35583,2233,6724,36529
0.75,1.6,405,79,31,595,5,4914,2,22356,939,3372,17514
1.75,3.3,955,171,105,1371,12,11773,5,47707,2559,7608,38405
2.5,3.3,1212,226,165,2150,17,15275,6,74606,3337,9718,50185
1.75,4.7,896,209,96,1376,9,9436,6,52137,2305,6764,39009
0.75,2.2,398,78,52,611,5,4770,4,16941,846,2959,15281
2,4.1,913,195,77,1650,14,13308,6,59147,2355,7930,41130
1,1,464,88,66,837,7,6000,2,28629,1188,4423,24287
0.5,0.6,256,58,27,401,3,2744,2,12650,669,2248,9697
1.5,4.2,789,179,88,1211,10,8385,2,42732,2046,6012,28964
0.5,1.1,250,61,28,400,3,3310,3,11526,693,1931,11709
0.75,1.8,377,67,35,584,5,4854,3,16963,1069,3322,18699
1.5,2.7,694,129,70,1158,8,8382,4,37157,1891,5791,28937
1,1.8,458,109,47,766,6,6627,3,27176,1428,3817,24364
1.5,4,701,154,97,1210,8,8486,2,34523,1874,6599,29973
1.25,2.9,573,138,95,945,8,8551,2,29047,1609,5178,26767
3,8.2,1482,368,132,2301,17,20672,4,70952,3712,12438,57561
2,3.6,980,188,123,1512,12,12182,2,48491,2382,8944,38948
2.5,4.5,1201,296,131,1903,13,15639,6,60805,2903,10867,50789
0.75,0.9,342,78,54,657,5,4664,2,17125,927,3345,14675
1.5,2,816,184,99,1180,9,7521,5,34311,1849,5787,36204
1.25,1.4,621,129,79,1099,8,7617,6,32971,1782,5548,24292
0.5,1.3,230,56,31,423,3,2839,4,11909,676,1921,10743
1,2.8,532,90,43,779,5,5542,2,27375,1445,3847,19577
0.75,2.1,391,80,32,663,5,5178,2,21556,849,3297,16902
0.5,0.7,265,49,37,421,3,3292,3,12460,673,2209,10501
2.5,5.8,1362,225,184,1942,13,16186,6,65181,3194,10309,52271
2,3.1,934,197,79,1775,13,11181,2,50395,2951,7672,43531
0.5,1,238,65,27,398,3,2900,5,14007,567,2079,12483
1.25,1.8,584,110,54,1022,8,6282,3,37280,1515,5462,30680
0.5,1.3,227,45,28,435,3,2558,5,12699,710,2236,11522
0.75,2.2,396,63,43,664,5,3836,4,22225,989,3293,17724
1.5,1.5,806,145,111,1339,10,9203,6,42989,2005,5763,31946
1,1.3,502,93,57,825,6,6291,4,25861,1287,4034,24179
3,4.3,1407,347,126,2511,21,18851,3,71182,3582,13168,63409
1.5,2.5,745,183,63,1198,10,8821,4,36414,1865,6703,33212
2,4.7,991,177,74,1538,10,11263,3,46052,2690,8442,47598
1.75,3.9,849,173,92,1478,10,11409,2,41483,2010,7616,35939
3,8.6,1421,374,203,2591,15,19567,6,72508,4008,12610,58176
3,7.5,1473,385,183,2267,17,20777,3,84822,3730,12390,72463
1.75,2.3,938,210,72,1352,10,8913,5,43668,2103,7507,38333
